,alpha,beta,delta_m,lam,lamb,mmin,mpp,mu_chi,mu_spin,sigma_chi,sigma_spin,sigpp,xi_spin
54,5.3590593,1.481811,6.6951523,0.0074255564,5.1870775,4.7864285,30.326626,0.11193569,0.10879886,0.3114224,0.20221442,8.083557,0.6668876
55,5.6181984,1.038671,7.0027294,0.011824592,5.025282,5.5343785,31.182077,0.17733915,0.12251127,0.25488725,0.20285517,9.559726,0.6322305
56,4.243458,2.0756025,7.7938623,0.013604849,4.943591,4.4415994,29.408398,0.118070185,0.16205132,0.2929038,0.3419913,9.580213,0.9095048
57,4.1030064,1.5637493,4.1402383,0.041548334,5.0440073,5.635234,26.859966,0.14657563,0.09039998,0.28740245,0.32688516,8.045564,0.9863762
58,4.0465555,0.80620384,4.6385775,0.044771623,4.6855564,5.3086524,27.715862,0.11251288,0.17284608,0.23749453,0.2516134,7.9768767,0.68894374
59,3.5960598,1.0089767,5.7820516,0.0177266,5.0848083,4.7040606,33.162956,0.21325979,0.20948148,0.23439902,0.3528995,1.1033475,0.8447509
60,3.5990977,1.1237445,5.457575,0.014200021,5.105135,4.7988477,32.6652,0.17482643,0.19248092,0.23974124,0.31107408,1.0356815,0.8671985
61,4.0508633,1.3735921,6.218272,0.009387196,5.351841,5.001881,32.683983,0.2452741,0.07547796,0.19446072,0.27721775,1.0234759,0.8873227
62,3.9195433,0.23184109,4.751729,0.02389846,4.6778183,5.585296,32.92478,0.22135225,0.085119724,0.16117261,0.24915929,7.3035555,0.820609
63,4.0158405,0.7014115,4.741961,0.019555643,4.725198,5.288416,33.942707,0.11153249,0.23103058,0.30607226,0.41525868,1.0868082,0.87714463
64,3.5592957,0.81478524,4.761778,0.015458007,4.3908014,5.4883127,33.722115,0.10754433,0.1436224,0.25544545,0.26809722,2.1685092,0.8173751
65,3.9919019,1.6102872,4.1469803,0.016038159,4.225111,5.573028,34.94318,0.11768414,0.14483988,0.30330628,0.31881142,1.8492486,0.68492174
66,3.854663,0.9048362,5.6054616,0.02054714,5.1593475,4.9066305,30.312798,0.11845583,0.15502942,0.2472679,0.26316807,5.886938,0.91381145
67,3.571144,0.9180014,4.862605,0.029717192,4.3499775,5.271493,31.154898,0.10673919,0.07057488,0.23998141,0.3407489,4.169551,0.87755567
68,3.6771846,0.77177405,3.5253577,0.028332388,4.3196497,5.6500034,34.803593,0.10323096,0.09639871,0.27675575,0.2862452,3.2736843,0.52555144
69,3.8256993,1.4307728,4.762418,0.022117652,4.8208666,5.6344576,32.06759,0.10730781,0.09914565,0.258279,0.46165025,2.3790312,0.9390883
70,3.8722553,1.6376309,3.0691948,0.021260217,5.309738,5.3084106,29.786026,0.18631926,0.11458528,0.374303,0.2714119,7.912072,0.9293177
71,3.7290897,1.4057386,3.2997737,0.044001758,5.0199213,5.774768,25.638454,0.10025458,0.14442599,0.37119892,0.2522227,9.93745,0.8807305
72,4.3308134,3.6317425,5.405967,0.027109914,3.398553,4.972062,26.508038,0.104695424,0.09403205,0.18020752,0.43499994,9.992275,0.8645381
73,4.2989883,3.909985,6.6325965,0.027768338,3.9593906,4.7827253,28.015617,0.10729455,0.076634884,0.1866069,0.48897058,9.994504,0.9521933
74,4.074403,1.2178981,3.9078865,0.04309259,5.540662,5.7095013,26.928333,0.11633901,0.15623271,0.49406058,0.21353674,5.4459286,0.77204037
75,3.773697,0.6952219,7.253621,0.019742873,3.8492699,4.341397,32.90531,0.28474542,0.11028707,0.13551286,0.2106755,9.539902,0.92915815
76,4.0316124,1.2252624,5.8655086,0.010245714,5.659891,4.8622503,32.79847,0.14101355,0.15759444,0.22973028,0.33541322,4.852131,0.97968125
77,3.778317,0.47216916,5.717429,0.015683996,4.872835,5.006846,33.835274,0.16615579,0.12840354,0.173581,0.2548404,1.0523663,0.82970107
78,3.8429432,1.1275,4.8431087,0.013182839,4.4436846,5.3083725,33.367123,0.12758571,0.1852709,0.29363686,0.42190117,1.269357,0.9045648
79,3.503539,0.34827018,4.1165433,0.015891546,5.0737333,4.7949896,33.436287,0.1880975,0.08120954,0.24257427,0.34411198,2.7350588,0.8493142
80,4.0513496,0.7793727,4.447697,0.028319534,4.19928,5.402898,31.45438,0.103371404,0.09652531,0.32438493,0.2822854,5.5700774,0.8398136
81,3.6883106,0.4727931,3.416946,0.028032096,5.988961,5.817047,32.14779,0.10538513,0.13155437,0.25885865,0.33165392,5.6979566,0.9046313
82,3.4408054,1.2221224,8.271327,0.012535072,4.390732,3.9398882,34.19712,0.23297045,0.10381746,0.1783311,0.36417204,1.1537728,0.6652443
83,3.8644118,1.093823,5.3162136,0.01669303,4.551321,4.991639,34.933258,0.2745628,0.16149831,0.20398661,0.24585715,6.9798174,0.9834107
84,3.3868876,0.8367822,5.101953,0.026767252,4.0088654,4.999497,36.050896,0.10224603,0.09176469,0.33675843,0.4529274,3.1496718,0.96435666
85,3.526804,0.4955144,5.031684,0.03151008,3.4364586,4.9995213,31.116617,0.13598023,0.15738976,0.25584278,0.24091668,3.3579452,0.9905702
86,3.977562,0.36955953,5.4302206,0.0100422,4.6742544,5.0735354,33.604935,0.16099145,0.09841347,0.2841226,0.31828344,1.2072834,0.4831409
87,3.7843895,0.64285994,5.7518654,0.008599451,4.9291697,4.8672485,36.090054,0.14572129,0.14591575,0.25940642,0.32890666,1.4196408,0.8151107
88,3.9131522,0.42716813,5.5558677,0.01550833,4.542762,4.9064465,33.947266,0.12067095,0.115374565,0.24058962,0.28839156,5.8786144,0.8783407
89,3.8086824,2.1874804,4.0862064,0.012175428,4.67404,5.011692,33.841236,0.1872395,0.18913877,0.28841692,0.3114458,1.174897,0.8735725
90,3.5878062,0.45398927,2.971689,0.056552246,5.077443,5.8723583,32.16094,0.11386937,0.17158818,0.35595992,0.29023454,3.0530252,0.7299906
91,3.9769058,0.31004977,4.0060945,0.009613012,5.5768156,5.76311,34.527145,0.2511546,0.17245567,0.24051651,0.29547647,2.8816442,0.83049977
92,4.030842,1.4233391,5.492364,0.014165386,4.9351273,4.8560057,33.50492,0.10845853,0.21965563,0.26431686,0.3091014,1.721126,0.8093484
93,3.5758963,0.9311552,7.2360973,0.020229612,4.447464,4.454361,32.014668,0.1117132,0.020891905,0.28959483,0.33061808,2.1650128,0.73800486
